#NSGA2
popsize 50
maxGen 200
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	0.0298985
firstFrontCount	22
frontCount	5
avgEvalTime	1.115e-05
#end
Var1	Var2	Obj1	Obj2	
2.7978	2.3712	53.801	11.7603	
0.0455199	0	0.00828825	49.5469	
3.02054	2.30526	57.7515	11.1799	
2.39168	2.06474	39.9333	15.419	
2.40981	2.30964	44.5666	13.9471	
3.90346	3.41529	107.605	3.7137	
1.12272	1.05581	9.50092	30.59	
1.89427	1.4285	22.5154	22.4012	
2.96433	2.11979	53.1231	12.4396	
2.70924	2.84479	61.7314	9.89247	
3.51133	2.55644	75.4594	8.18711	
0.125843	0.554176	1.29179	43.5228	
2.54244	3.41787	72.5833	8.54274	
2.11206	1.96344	33.2637	17.5608	
3.42682	3.91647	108.327	3.64892	
1.57996	1.36074	17.3916	24.9409	
3.8407	3.16963	99.1901	4.69423	



#Generation 5 / 200
currentGen	5
evaluateCount	250
totalTime	0.522699
firstFrontCount	50
frontCount	1
avgEvalTime	1.2522e-05
#end
Var1	Var2	Obj1	Obj2	
4.45706	4.66767	166.61	0.405225	
0	0	0	50	
1.57996	1.36074	17.3916	24.9409	
2.17306	1.61033	29.2614	19.4814	
0.751629	0.951207	5.87896	34.4414	
0.959376	0.455615	4.51195	36.9781	
1.38308	1.1771	13.194	27.6966	
2.96433	2.11979	53.1231	12.4396	
3.18101	3.48917	89.1725	5.59133	
2.40981	2.30964	44.5666	13.9471	
1.89427	1.4285	22.5154	22.4012	
4.40698	4.06059	143.639	1.23416	
4.32283	4.48434	155.184	0.724473	
0.497062	0.617414	2.51308	39.4835	
0.718983	0	2.06775	43.3271	
3.1132	3.21024	79.9905	6.76327	
2.11206	1.96344	33.2637	17.5608	
3.81874	4.25008	130.584	1.95774	
1.05683	1.73615	16.5244	26.2013	
1.42963	0.89413	11.3733	29.6057	
2.96833	3.10832	73.8907	7.70612	
