#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0399441
firstFrontCount	20
frontCount	8
avgEvalTime	8.1488e-05
#end
Var1	Var2	Obj1	Obj2	
1.21042	1.19229	11.5466	28.8596	
3.03708	2.72434	66.5834	9.03171	
2.4759	2.50671	49.6548	12.5876	
4.10289	4.1169	135.13	1.58467	
2.04568	1.94665	31.897	18.051	
3.46452	2.74317	78.1114	7.451	
2.1537	2.10777	36.3245	16.4664	



#Generation 6 / 100
currentGen	6
evaluateCount	300
totalTime	1.39187
firstFrontCount	50
frontCount	1
avgEvalTime	1.2772e-05
#end
Var1	Var2	Obj1	Obj2	
5	4.63823	186.053	0.130879	
0	0	0	50	
0	0	0	50	
4.50637	4.12412	149.263	1.01084	
0.808277	1.14501	7.85748	32.4315	
5	4.31752	174.564	0.465779	
2.32631	2.3362	43.4781	14.2445	
0.692784	0.709753	3.9348	36.9583	
4.21784	4.16861	140.67	1.30298	
4.56177	4.39302	160.434	0.560468	
2.59812	2.63251	54.7213	11.374	
2.7031	2.69557	58.2914	10.5862	
1.70384	1.47367	20.2991	23.2997	
1.46356	0.764016	10.9029	30.45	
2.14757	2.26628	38.9923	15.6096	
0.386008	0.64383	2.25408	40.2651	
2.18705	1.4483	27.5231	20.5272	
3.29266	3.63301	96.1613	4.78369	
4.72776	4.30935	163.689	0.551106	
2.68645	2.9572	63.8481	9.52557	
0.250442	0	0.250885	47.5583	
2.4759	2.50671	49.6548	12.5876	
0.336795	0.193171	0.602983	44.8511	
3.37365	2.55991	71.7387	8.59904	
2.12349	1.7655	30.5048	18.7363	
3.48755	4.36784	124.964	2.68713	
5	4.49025	180.65	0.259841	
1.18661	1.71257	17.3637	25.3492	
2.04568	1.94665	31.897	18.051	
1.66284	1.65495	22.0155	22.326	
2.84709	2.02087	48.7594	13.5102	
1.24731	1.41346	14.2146	26.946	
3.88946	3.78704	117.878	2.70457	
3.38826	3.35649	90.9854	5.29882	
1.63714	1.86559	24.6426	21.1333	
0.518213	1.18917	6.73065	34.6089	
3.65074	3.46765	101.41	4.16859	
3.03708	2.72434	66.5834	9.03171	
3.56854	3.04225	87.959	5.88187	
2.45991	3.64979	77.4884	8.27513	
1.90635	2.31024	35.8855	16.8055	
3.78525	3.76029	113.872	3.01248	
1.42943	1.0063	12.2237	28.6986	
3.77295	4.23519	128.688	2.09059	
0.0276784	0.125644	0.0662097	48.4833	
3.39992	4.02234	110.955	3.51608	
4.10289	4.1169	135.13	1.58467	
3.32096	3.99909	108.086	3.82098	
3.47785	3.74162	104.38	3.90048	
0.459642	0.353082	1.34375	42.2087	



#Generation 7 / 100
currentGen	7
evaluateCount	350
totalTime	1.42046
firstFrontCount	50
frontCount	1
avgEvalTime	1.2734e-05
#end
Var1	Var2	Obj1	Obj2	
0	0	0	50	
0	0	0	50	
5	4.63823	186.053	0.130879	
0.692784	0.709753	3.9348	36.9583	
4.50637	4.12412	149.263	1.01084	
0.386008	0.64383	2.25408	40.2651	
3.95308	2.44447	86.4091	7.62679	
2.98335	3.06067	73.0724	7.82786	
0.336795	0.193171	0.602983	44.8511	
5	4.31752	174.564	0.465779	
4.21784	4.16861	140.67	1.30298	
4.56177	4.39302	160.434	0.560468	
0.518213	1.18917	6.73065	34.6089	
1.46356	0.764016	10.9029	30.45	
3.29266	3.63301	96.1613	4.78369	
4.72776	4.30935	163.689	0.551106	
0.250442	0	0.250885	47.5583	
2.12349	1.7655	30.5048	18.7363	
3.56854	3.04225	87.959	5.88187	
3.48755	4.36784	124.964	2.68713	
2.59812	2.63251	54.7213	11.374	
5	4.49025	180.65	0.259841	
3.88946	3.78704	117.878	2.70457	
3.38826	3.35649	90.9854	5.29882	
3.65074	3.46765	101.41	4.16859	
2.18705	1.4483	27.5231	20.5272	
2.78942	3.10598	69.712	8.47397	
3.77295	4.23519	128.688	2.09059	
0.459642	0.353082	1.34375	42.2087	
1.42943	1.0063	12.2237	28.6986	
0.319918	0.420636	1.11713	42.8737	
2.02287	0.943464	19.9286	25.3188	
0.462683	1.57463	10.7741	32.3204	
1.63714	1.86559	24.6426	21.1333	
3.78525	3.76029	113.872	3.01248	
2.7031	2.69557	58.2914	10.5862	
2.32631	2.3362	43.4781	14.2445	
2.27071	2.21704	40.2856	15.1939	
3.03669	2.44413	60.7809	10.3871	
2.04568	1.94665	31.897	18.051	
0.0276784	0.125644	0.0662097	48.4833	
1.18661	1.71257	17.3637	25.3492	
0.582345	1.22195	7.32913	33.7894	
1.70384	1.47367	20.2991	23.2997	
1.14765	1.57694	15.2153	26.558	
1.66284	1.65495	22.0155	22.326	
0.808277	1.14501	7.85748	32.4315	
