#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0483512
firstFrontCount	1
frontCount	50
avgEvalTime	0.000446584
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.711085	0.974002	0.711085	0.974002	0	0	
1.02115	0.535467	1.02115	0.535467	0	0	
0.715396	0.924667	0.715396	0.924667	0	0	
0.799487	0.861438	0.799487	0.861438	0	0	
0.893636	0.799784	0.893636	0.799784	0	0	
0.956033	0.598086	0.956033	0.598086	0	0	
0.812126	0.812785	0.812126	0.812785	0	0	
0.78945	0.993336	0.78945	0.993336	0	0	
0.891322	0.855318	0.891322	0.855318	0	0	
0.731613	1.00463	0.731613	1.00463	0	0	
0.803038	0.88839	0.803038	0.88839	0	0	
1.04708	0.635452	1.04708	0.635452	0	0	
1.16659	0.596228	1.16659	0.596228	0	0	
0.962675	0.653947	0.962675	0.653947	0	0	
0.932057	0.849275	0.932057	0.849275	0	0	
1.0402	0.649565	1.0402	0.649565	0	0	
0.585564	1.18154	0.585564	1.18154	0	0	
0.936144	0.852174	0.936144	0.852174	0	0	
1.0907	0.744222	1.0907	0.744222	0	0	
0.89124	0.933033	0.89124	0.933033	0	0	
1.12887	0.663295	1.12887	0.663295	0	0	
0.787324	1.02288	0.787324	1.02288	0	0	
0.785301	1.10053	0.785301	1.10053	0	0	
0.988733	0.916829	0.988733	0.916829	0	0	
1.1166	0.749034	1.1166	0.749034	0	0	
1.09355	0.796169	1.09355	0.796169	0	0	
0.934268	1.00277	0.934268	1.00277	0	0	
1.1342	0.689519	1.1342	0.689519	0	0	
0.977279	1.00579	0.977279	1.00579	0	0	



#Generation 6 / 100
currentGen	6
evaluateCount	300
totalTime	0.848962
firstFrontCount	9
frontCount	5
avgEvalTime	5.878e-06
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.46317	0.979987	0.46317	0.979987	0	0	
0.633896	0.79783	0.633896	0.79783	0	0	
0.580957	0.854095	0.580957	0.854095	0	0	
0.759683	0.734498	0.759683	0.734498	0	0	
0.849444	0.49435	0.849444	0.49435	0	0	
1.01503	0.0980953	1.01503	0.0980953	0	0	
0.316004	1.01828	0.316004	1.01828	0	0	
0.679853	0.78732	0.679853	0.78732	0	0	
0.472484	0.951111	0.472484	0.951111	0	0	
0.546557	0.965953	0.546557	0.965953	0	0	
0.316176	1.13139	0.316176	1.13139	0	0	
0.318757	1.06416	0.318757	1.06416	0	0	
0.414592	1.0352	0.414592	1.0352	0	0	
0.862937	0.526879	0.862937	0.526879	0	0	
0.649254	0.832599	0.649254	0.832599	0	0	
1.04707	0.15201	1.04707	0.15201	0	0	
0.522319	0.967437	0.522319	0.967437	0	0	
0.764868	0.774534	0.764868	0.774534	0	0	
0.614178	0.861945	0.614178	0.861945	0	0	
1.12742	0.250801	1.12742	0.250801	0	0	
0.771152	0.779814	0.771152	0.779814	0	0	
1.02115	0.535467	1.02115	0.535467	0	0	
0.463482	1.04238	0.463482	1.04238	0	0	
0.333589	1.08709	0.333589	1.08709	0	0	
0.657357	0.873271	0.657357	0.873271	0	0	
0.891682	0.567173	0.891682	0.567173	0	0	
0.361538	1.15388	0.361538	1.15388	0	0	
0.647797	1.07464	0.647797	1.07464	0	0	
0.450475	1.12268	0.450475	1.12268	0	0	
0.834524	0.803764	0.834524	0.803764	0	0	
0.676915	1.03749	0.676915	1.03749	0	0	
1.17386	0.442928	1.17386	0.442928	0	0	
0.711085	0.974002	0.711085	0.974002	0	0	
0.715396	0.924667	0.715396	0.924667	0	0	
0.893636	0.799784	0.893636	0.799784	0	0	
0.956033	0.598086	0.956033	0.598086	0	0	
0.812126	0.812785	0.812126	0.812785	0	0	
1.16659	0.596228	1.16659	0.596228	0	0	
0.81502	0.80893	0.81502	0.80893	0	0	
0.788763	0.852747	0.788763	0.852747	0	0	
1.17584	0.595512	1.17584	0.595512	0	0	
0.483392	1.13724	0.483392	1.13724	0	0	
0.717255	1.03778	0.717255	1.03778	0	0	
0.962675	0.653947	0.962675	0.653947	0	0	
0.932057	0.849275	0.932057	0.849275	0	0	
0.799487	0.861438	0.799487	0.861438	0	0	
1.04708	0.635452	1.04708	0.635452	0	0	
0.790096	0.97719	0.790096	0.97719	0	0	
0.731613	1.00463	0.731613	1.00463	0	0	
1.0402	0.649565	1.0402	0.649565	0	0	



#Generation 7 / 100
currentGen	7
evaluateCount	350
totalTime	0.881909
firstFrontCount	10
frontCount	5
avgEvalTime	1.1236e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.46317	0.979987	0.46317	0.979987	0	0	
0.633896	0.79783	0.633896	0.79783	0	0	
0.580957	0.854095	0.580957	0.854095	0	0	
0.759683	0.734498	0.759683	0.734498	0	0	
0.849444	0.49435	0.849444	0.49435	0	0	
1.01503	0.0980953	1.01503	0.0980953	0	0	
0.316004	1.01828	0.316004	1.01828	0	0	
0.679853	0.78732	0.679853	0.78732	0	0	
0.472484	0.951111	0.472484	0.951111	0	0	
0.991139	0.270751	0.991139	0.270751	0	0	
0.546557	0.965953	0.546557	0.965953	0	0	
0.316176	1.13139	0.316176	1.13139	0	0	
0.318757	1.06416	0.318757	1.06416	0	0	
0.414592	1.0352	0.414592	1.0352	0	0	
0.862937	0.526879	0.862937	0.526879	0	0	
0.649254	0.832599	0.649254	0.832599	0	0	
1.04707	0.15201	1.04707	0.15201	0	0	
0.522319	0.967437	0.522319	0.967437	0	0	
0.764868	0.774534	0.764868	0.774534	0	0	
0.614178	0.861945	0.614178	0.861945	0	0	
0.733621	0.795698	0.733621	0.795698	0	0	
0.654139	0.805729	0.654139	0.805729	0	0	
0.995233	0.397208	0.995233	0.397208	0	0	
1.12742	0.250801	1.12742	0.250801	0	0	
0.771152	0.779814	0.771152	0.779814	0	0	
1.02115	0.535467	1.02115	0.535467	0	0	
0.463482	1.04238	0.463482	1.04238	0	0	
0.333589	1.08709	0.333589	1.08709	0	0	
0.657357	0.873271	0.657357	0.873271	0	0	
0.891682	0.567173	0.891682	0.567173	0	0	
0.629417	0.893537	0.629417	0.893537	0	0	
0.581484	1.02623	0.581484	1.02623	0	0	
0.876829	0.596292	0.876829	0.596292	0	0	
0.361538	1.15388	0.361538	1.15388	0	0	
0.647797	1.07464	0.647797	1.07464	0	0	
0.450475	1.12268	0.450475	1.12268	0	0	
0.834524	0.803764	0.834524	0.803764	0	0	
0.676915	1.03749	0.676915	1.03749	0	0	
1.17386	0.442928	1.17386	0.442928	0	0	
0.711085	0.974002	0.711085	0.974002	0	0	
0.715396	0.924667	0.715396	0.924667	0	0	
0.893636	0.799784	0.893636	0.799784	0	0	
0.956033	0.598086	0.956033	0.598086	0	0	
0.812126	0.812785	0.812126	0.812785	0	0	
0.81502	0.80893	0.81502	0.80893	0	0	
0.788763	0.852747	0.788763	0.852747	0	0	
0.98359	0.583227	0.98359	0.583227	0	0	
0.344605	1.15871	0.344605	1.15871	0	0	
0.483392	1.13724	0.483392	1.13724	0	0	
1.17584	0.595512	1.17584	0.595512	0	0	



#Generation 8 / 100
currentGen	8
evaluateCount	400
totalTime	0.909897
firstFrontCount	10
frontCount	4
avgEvalTime	9.91e-06
#end
